Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
TCS,3.7,IT Services & Consulting ,"('', '1')",Mumbai,Public, 56 years old,81.3k,8.9L,36,9.4k,11.8k
Wipro,3.8,IT Services & Consulting ,"('', '1')",Bangalore/Bengaluru,Public, 79 years old,45.6k,4.4L,724,5k,5.2k
HDFC Bank,3.9,Banking ,"('', '1')",Mumbai,Public, 30 years old,36.5k,1.4L,153,2k,3.3k
ICICI Bank,4.0,Banking ,"('', '1')",Mumbai,Public, 30 years old,35.8k,1.5L,3,2.3k,3.8k
Infosys,3.8,IT Services & Consulting ,"('', '1')",Bengaluru/Bangalore,Public, 43 years old,35.2k,4.6L,1.1k,6.9k,5.3k
HCLTech,3.6,IT Services & Consulting ,"('', '1')",Noida,Public, 33 years old,32.5k,3.2L,195,3.5k,4.2k
Tech Mahindra,3.6,IT Services & Consulting ,"('', '1')",Pune,Public, 38 years old,29.9k,2.6L,497,3.3k,3.7k
Axis Bank,3.8,Banking ,"('50k-1 Lakh Employees', '')",Mumbai,Public, 31 years old,23.6k,98.1k,87,1.4k,2.2k
Larsen & Toubro Limited,4.0,Engineering & Construction ,"('50k-1 Lakh Employees', '')",Mumbai,Public, 86 years old,17.3k,69.8k,154,1.3k,2.9k
Kotak Mahindra Bank,3.8,Banking ,"('50k-1 Lakh Employees', '')",Mumbai,Public, 21 years old,15.2k,82.2k,111,980,1.3k
Vodafone Idea,4.1,Telecom ,"('5k-10k Employees', '')",Mumbai,Public, 6 years old,14.7k,56.1k,12,519,2.1k
Reliance Industries,4.1,Oil & Gas ,"('', '1')",,Public, 47 years old,14.6k,66.9k,37,1.2k,2k
Bharti Airtel,4.0,Telecom ,"('10k-50k Employees', '')",Gurgaon/Gurugram,Public, 72 years old,12.7k,45.5k,176,768,1.6k
Tata Motors,4.2,Automobile ,"('10k-50k Employees', '')",Pune,Public, 79 years old,11.1k,41.3k,21,933,1.8k
IndusInd Bank,3.6,Banking ,"('10k-50k Employees', '')",Gurgaon/Gurugram,Public, 30 years old,9.9k,49k,121,543,824
IDFC FIRST Bank,4.0,Banking ,"('10k-50k Employees', '')",Mumbai,Public, 6 years old,9.3k,43.6k,32,585,745
Mahindra & Mahindra,4.2,Automobile ,"('', '1')",Mumbai,Public, 79 years old,9.3k,37.7k,86,641,1.3k
AU Small Finance Bank,4.4,Banking ,"('10k-50k Employees', '')",Jaipur,Fortune India 500, 28 years old,9.3k,20.3k,12,385,490
Bajaj Finserv,4.0,Financial Services ,"('50k-1 Lakh Employees', '')",Pune,Public, 17 years old,8.4k,26.6k,26,463,761
