Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
TCS,3.7,IT Services & Consulting ,100000+,Mumbai,Public,56,81300,890000,36,9400,11800
Wipro,3.8,IT Services & Consulting ,100000+,Bangalore,Public,79,45600,440000,676,500,5200
HDFC Bank,3.9,Banking ,100000+,Mumbai,Public,30,36500,140000,148,200,3300
ICICI Bank,4.0,Banking ,100000+,Mumbai,Public,30,35800,150000,3,2300,3800
Infosys,3.8,IT Services & Consulting ,100000+,Bangalore,Public,43,35200,460000,1100,6900,5300
HCLTech,3.6,IT Services & Consulting ,100000+,Noida,Public,33,32500,320000,194,3500,4200
Tech Mahindra,3.6,IT Services & Consulting ,100000+,Pune,Public,38,29900,260000,483,3300,3700
Axis Bank,3.8,Banking ,50000-100000,Mumbai,Public,31,23600,98100,81,1400,2200
Larsen & Toubro Limited,4.0,Engineering & Construction ,50000-100000,Mumbai,Public,86,17300,69800,151,1300,2900
Kotak Mahindra Bank,3.8,Banking ,50000-100000,Mumbai,Public,21,15200,82200,100,979,1300
Vodafone Idea,4.1,Telecom ,5000-10000,Mumbai,Public,6,14700,56100,11,519,2100
Reliance Industries,4.1,Oil & Gas ,100000+,Mumbai,Public,47,14600,66900,37,1200,200
Bharti Airtel,4.0,Telecom ,10000-50000,Gurugram,Public,72,12700,45500,168,766,1600
Tata Motors,4.2,Automobile ,10000-50000,Pune,Public,79,11100,41300,21,933,1800
IndusInd Bank,3.6,Banking ,10000-50000,Mumbai,Public,30,9900,4900,120,543,824
IDFC FIRST Bank,4.0,Banking ,10000-50000,Mumbai,Public,6,9300,43600,32,584,745
Mahindra & Mahindra,4.2,Automobile ,100000+,Mumbai,Public,79,9300,37700,86,641,1300
AU Small Finance Bank,4.4,Banking ,10000-50000,Jaipur,Fortune India 500,28,9200,20300,12,385,490
Bajaj Finserv,4.0,Financial Services ,50000-100000,Pune,Public,17,8400,26600,26,463,761
Mphasis,3.4,IT Services & Consulting ,10000-50000,Bangalore,Public,26,7600,68100,80,736,904
Yes Bank,3.8,Banking ,10000-50000,Mumbai,Public,20,700,43300,75,396,638
Maruti Suzuki,4.2,Automobile ,10000-50000,Gurgaon,Public,43,700,25400,614,559,1100
Paytm,3.3,FinTech ,10000-50000,Noida,Public,14,6900,33100,57,696,595
